subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
MGCR,Not Equivalent,MGCR352,Principles of Marketing,MARK1220,Marketing and Society,The Hong Kong University of Science and Technology,"Hong Kong, SAR"
MGCR,Equivalent,MGCR352,Principles of Marketing,MARK2120,Marketing Management,The Hong Kong University of Science and Technology,"Hong Kong, SAR"
MGCR,Equivalent,MGCR352,Principles of Marketing,MKGT2501,Introduction to Marketing,The University of Hong Kong (HKU),"Hong Kong, SAR"
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG2501,Introduction to Marketing,The University of Hong Kong (HKU),"Hong Kong, SAR"
MGCR,Equivalent,MGCR352,Marketing Management 1,293NMARK370B,Marketing,Corvinus University of Budapest,Hungary
MGCR,Equivalent,MGCR352,Principles of Marketing,BU33700,Contemporary Marketing Management,The University of Dublin (Trinity College),Ireland
MGCR,Equivalent,MGCR352,Principles of Marketing,BUU44551,Advances in Marketing Theory and Practice,The University of Dublin (Trinity College),Ireland
MGCR,Equivalent,MGCR352,Principles of Marketing,30015,MARKETING,Luigi Bocconi University,Italy
MGCR,Equivalent,MGCR352,Principles of Marketing,30705,Marketing,Luigi Bocconi University,Italy
MGCR,Equivalent,MGCR352,Principles of Marketing,980,Marketing,Luiss Guido Carli University,Italy
MGCR,Equivalent,MGCR352,Principles of Marketing,BA015,Marketing,Luiss Guido Carli University,Italy
MGCR,Not Equivalent,MGCR352,Principles of Marketing,21872,International Marketing,University of Bologna,Italy
MGCR,Not Equivalent,MGCR352,Principles of Marketing,67856,SERVICE MARKETING,University of Bologna,Italy
MGCR,Not Equivalent,MGCR352,Principles of Marketing,B5645,SERVICES MARKETING,University of Bologna,Italy
MGCR,Equivalent,MGCR352,Principles of Marketing,AIBE3150,Marketing,Sophia University,Japan
MGCR,Equivalent,MGCR352,Principles of Marketing,CIF1001,PRINCIPLES OF MARKETING,University of Malaya,Malaysia
MGCR,Equivalent,MGCR352,Principles of Marketing,MKRG151,essential marketing,The University of Auckland / Te Whare Wananga o Tamaki Makaurau,New Zealand
MGCR,Equivalent,MGCR352,Principles of Marketing,MKTG151,Essential Marketing,The University of Auckland / Te Whare Wananga o Tamaki Makaurau,New Zealand
