code,subject,title,credits,prereq_text,prereq_codes,coreq_text,coreq_codes,restrictions,description
ECSE496,ECSE,Honours Research Laboratory Rotation 3,1,ECSE 397,ECSE397,,,,
ECSE497,ECSE,Honours Research Laboratory Rotation 4,1,ECSE 496 (0-0-3),ECSE496,,,,
ECSE498,ECSE,Honours Thesis 1,3,CCOM 206 or WCOM 206 and at least 42 Departmental credits,CCOM206 WCOM206,,,,
ECSE499,ECSE,Honours Thesis 2,3,ECSE 498,ECSE498,,,,
ECSE500,ECSE,Mathematical Foundations of Systems,3,,,,,Open only to graduate students within the Faculty of Engineering,
ECSE501,ECSE,Linear Systems,3,,,ECSE 500 or permission of instructor,ECSE500,,
ECSE506,ECSE,Stochastic Control and Decision Theory,3,ECSE 509,ECSE509,,,,
ECSE507,ECSE,Optimization and Optimal Control,3,ECSE 343 or ECSE 543 or ECSE501 or COMP 540 or MATH 247 or permission of the instructor,ECSE343 ECSE543 ECSE501 COMP540 MATH247,,,,
ECSE508,ECSE,Multi-Agent Systems,3,ECSE 205 or equivalent,ECSE205,,,,
ECSE509,ECSE,Probability and Random Signals 2,3,((ECSE 206 or ECSE 316) and ECSE 205) or GEPR 221 (3-1-5) GEPR courses can only serve as pre-requisite courses for students enrolled in the Bachelor of Global Engineering program,ECSE206 ECSE316 ECSE205 GEPR221,,,,
ECSE511,ECSE,Introduction to Digital Communication,3,ECSE 304 or ECSE 308 or ECSE 316,ECSE304 ECSE308 ECSE316,ECSE 509 An advanced version of ECSE 411 Tutorials assigned by instructor,ECSE509 ECSE411,,
ECSE512,ECSE,Digital Signal Processing 1,3,(ECSE 206 or ECSE 316) and ECSE 205,ECSE206 ECSE316 ECSE205,,,,
ECSE513,ECSE,Robust Control Systems,3,ECSE 500 and (ECSE 304 or ECSE 206 or ECSE 316),ECSE500 ECSE304 ECSE206 ECSE316,,,,
ECSE515,ECSE,Optical Fibre Communications,3,ECSE 571 and (ECSE 304 or ECSE 308 or ECSE 316) and (ECSE 305 or ECSE 205),ECSE571 ECSE304 ECSE308 ECSE316 ECSE305 ECSE205,,,,
ECSE516,ECSE,Nonlinear and Hybrid Control Systems,3,ECSE 500 and ECSE 501 or equivalent,ECSE500 ECSE501,,,,
ECSE517,ECSE,Neural Prosthetic Systems,3,(ECSE 303 or ECSE 306 or ECSE 206 or ECSE 316) and (ECSE 305 or ECSE 205) or permission of instructor,ECSE303 ECSE306 ECSE206 ECSE316 ECSE305 ECSE205,,,Accessible only to Honours Electrical Engineering students and Graduate students in Engineering,
ECSE518,ECSE,Telecommunication Network Analysis,3,ECSE 509 and (ECSE 414 or ECSE 416 or ECSE 528 or COMP 535),ECSE509 ECSE414 ECSE416 ECSE528 COMP535,,,Accessible only to Honours Electrical Engineering students and Graduate students in Engineering,
ECSE519,ECSE,Semiconductor Nanostructures and Nanophotonic Devices,3,ECSE 354 and (ECSE 433 or ECSE 533),ECSE354 ECSE433 ECSE533,,,,
ECSE520,ECSE,Information Theory and Coding,3,ECSE 205 or equivalent,ECSE205,,,Not open to students who have taken ECSE 620. (3-0-9),
ECSE521,ECSE,Digital Communications 1,3,ECSE 408,ECSE408,ECSE 509,ECSE509,,
